date,concentration NGL (mgN/L)
2022-01-01,38.6498384
2022-01-02,39.87764734
2022-01-03,27.86310893
2022-01-04,12.1918772
2022-01-05,28.45440112
2022-01-06,33.25264423
2022-01-07,28.32081424
2022-01-08,21.21425105
2022-01-09,14.97177825
2022-01-10,28.29529375
2022-01-11,32.2039707
2022-01-12,33.43745208
2022-01-13,35.30192068
2022-01-14,36.59532149
2022-01-15,37.2638384
2022-01-16,37.6852576
2022-01-17,38.19907309
2022-01-18,38.77356397
2022-01-19,37.76173508
2022-01-20,36.42254574
2022-01-21,38.79372729
2022-01-22,39.37161618
2022-01-23,40.43172729
2022-01-24,40.56787221
2022-01-25,40.12284806
2022-01-26,39.80905672
2022-01-27,40.74463067
2022-01-28,40.99379009
2022-01-29,40.01639395
2022-01-30,40.44701231
2022-01-31,39.59974178
2022-02-01,39.73987705
2022-02-02,40.22436497
2022-02-03,40.84729734
2022-02-04,40.32425869
2022-02-05,38.99206062
2022-02-06,33.403964
2022-02-07,30.42761789
2022-02-08,40.87418139
2022-02-09,41.03758236
2022-02-10,39.85600265
2022-02-11,38.9693698
2022-02-12,41.34639395
2022-02-13,42.87567415
2022-02-14,38.48738429
2022-02-15,38.55488188
2022-02-16,27.9285568
2022-02-17,38.16041328
2022-02-18,34.60448091
2022-02-19,37.71961618
2022-02-20,37.86451956
2022-02-21,28.7835582
2022-02-22,38.82395917
2022-02-23,39.19364033
2022-02-24,37.17865482
2022-02-25,37.87672729
2022-02-26,39.93161618
2022-02-27,40.77627848
2022-02-28,39.54874661
2022-03-01,39.96692052
2022-03-02,40.879964
2022-03-03,41.30811376
2022-03-04,44.12911485
2022-03-05,43.82033707
2022-03-06,45.07617765
2022-03-07,45.0256221
2022-03-08,43.92181798
2022-03-09,43.67347125
2022-03-10,43.34213791
2022-03-11,39.29921521
2022-03-12,37.83161618
2022-03-13,40.8192297
2022-03-14,40.1272442
2022-03-15,28.13200187
2022-03-16,40.0405727
2022-03-17,42.44011096
2022-03-18,43.03721521
2022-03-19,42.93150506
2022-03-20,43.69267898
2022-03-21,43.80660651
2022-03-22,42.56950023
2022-03-23,43.31116207
2022-03-24,43.40649057
2022-03-25,42.60794951
2022-03-26,42.88172729
2022-03-27,43.65984323
2022-03-28,43.82841047
2022-03-29,42.81623578
2022-03-30,34.52411781
2022-03-31,37.78841951
2022-04-01,38.63272729
2022-04-02,40.15639395
2022-04-03,42.56395434
2022-04-04,42.12895839
2022-04-05,42.49645676
2022-04-06,43.41585772
2022-04-07,38.62264999
2022-04-08,20.00856787
2022-04-09,18.85551613
2022-04-10,34.45173212
2022-04-11,37.7470413
2022-04-12,39.57759202
2022-04-13,25.65158127
2022-04-14,39.17186255
2022-04-15,40.61450506
2022-04-16,41.53617173
2022-04-17,41.91417173
2022-04-18,42.47413791
2022-04-19,42.25078043
2022-04-20,43.03051956
2022-04-21,43.790307
2022-04-22,43.52028284
2022-04-23,38.59688188
2022-04-24,39.0854954
2022-04-25,42.47281907
2022-04-26,40.8867611
2022-04-27,39.81302197
2022-04-28,42.87624903
2022-04-29,41.17528284
2022-04-30,37.17906062
2022-05-01,38.83667415
2022-05-02,39.6321041
2022-05-03,41.63653888
2022-05-04,40.53266932
2022-05-05,39.87801714
2022-05-06,41.77417173
2022-05-07,39.83199299
2022-05-08,42.11020555
2022-05-09,42.86427801
2022-05-10,42.58319589
2022-05-11,41.91971763
2022-05-12,41.92546969
2022-05-13,42.50450506
2022-05-14,40.7638384
2022-05-15,39.11386738
2022-05-16,30.86797974
2022-05-17,39.94153421
2022-05-18,38.37788671
2022-05-19,37.77810441
2022-05-20,28.10777077
2022-05-21,36.40128284
2022-05-22,39.79912342
2022-05-23,32.934952
2022-05-24,32.47888188
2022-05-25,39.10017173
2022-05-26,39.35940845
2022-05-27,38.5191041
2022-05-28,39.33894951
2022-05-29,40.85111859
2022-05-30,42.30512342
2022-05-31,43.70694951
2022-06-01,43.13382874
2022-06-02,43.18800265
2022-06-03,41.9443698
2022-06-04,29.66650506
2022-06-05,24.30700748
2022-06-06,31.46898816
2022-06-07,36.87325869
2022-06-08,18.19665872
2022-06-09,34.46689497
2022-06-10,40.8711041
2022-06-11,39.75817173
2022-06-12,41.59648387
2022-06-13,42.4818546
2022-06-14,42.00152501
2022-06-15,39.97378526
2022-06-16,39.22571248
2022-06-17,38.34961618
2022-06-18,36.78939395
2022-06-19,32.85427801
2022-06-20,21.56974568
2022-06-21,38.45570376
2022-06-22,38.60751005
2022-06-23,30.53920118
2022-06-24,27.68939395
2022-06-25,38.02741328
2022-06-26,40.07021661
2022-06-27,39.88779991
2022-06-28,39.98131214
2022-06-29,40.11235188
2022-06-30,25.49896774
2022-07-01,35.19954854
2022-07-02,39.14883357
2022-07-03,40.09254854
2022-07-04,40.64182874
2022-07-05,40.75281424
2022-07-06,41.38616207
2022-07-07,40.24969347
2022-07-08,40.8828384
2022-07-09,38.01107994
2022-07-10,40.1332297
2022-07-11,39.59521038
2022-07-12,37.6574954
2022-07-13,35.44738912
2022-07-14,35.5719012
2022-07-15,35.40806062
2022-07-16,34.95201231
2022-07-17,36.25965965
2022-07-18,35.53623142
2022-07-19,35.43592535
2022-07-20,26.64913308
2022-07-21,33.45551878
2022-07-22,34.8768384
2022-07-23,32.26252439
2022-07-24,35.97881424
2022-07-25,34.75800748
2022-07-26,35.4990268
2022-07-27,35.12166932
2022-07-28,36.03572729
2022-07-29,36.2698384
2022-07-30,34.4101041
2022-07-31,35.51170033
2022-08-01,34.83756989
2022-08-02,33.99279523
2022-08-03,31.82815241
2022-08-04,30.74991569
2022-08-05,21.00730217
2022-08-06,27.98528767
2022-08-07,31.1816609
2022-08-08,31.17349914
