date;input flowrate (m3/s)
1-01-2022 00:00;16.12
1-01-2022 00:15;16.12
1-01-2022 00:30;15.87
1-01-2022 00:45;15.97
1-01-2022 01:00;15.74
1-01-2022 01:15;15.76
1-01-2022 01:30;15.61
1-01-2022 01:45;15.67
1-01-2022 02:00;15.57
1-01-2022 02:15;15.5
1-01-2022 02:30;15.68
1-01-2022 02:45;15.6
1-01-2022 03:00;16.42
1-01-2022 03:15;15.38
1-01-2022 03:30;15.03
1-01-2022 03:45;14.99
1-01-2022 04:00;15.07
1-01-2022 04:15;15.04
1-01-2022 04:30;15.09
1-01-2022 04:45;15.21
1-01-2022 05:00;15.47
1-01-2022 05:15;16.38
1-01-2022 05:30;16.44
1-01-2022 05:45;15.68
1-01-2022 06:00;15.54
1-01-2022 06:15;15.31
1-01-2022 06:30;15.27
1-01-2022 06:45;15.1
1-01-2022 07:00;15.21
1-01-2022 07:15;15.48
1-01-2022 07:30;14.5
1-01-2022 07:45;14.47
1-01-2022 08:00;14.55
1-01-2022 08:15;15.36
1-01-2022 08:30;14.7
1-01-2022 08:45;14.6
1-01-2022 09:00;14.33
1-01-2022 09:15;14.2
1-01-2022 09:30;13.86
1-01-2022 09:45;13.64
1-01-2022 10:00;13.41
1-01-2022 10:15;13.11
1-01-2022 10:30;12.91
1-01-2022 10:45;12.7
1-01-2022 11:00;12.5
1-01-2022 11:15;12.32
1-01-2022 11:30;12.13
1-01-2022 11:45;11.98
1-01-2022 12:00;11.94
1-01-2022 12:15;11.8
1-01-2022 12:30;11.65
1-01-2022 12:45;11.51
1-01-2022 13:00;11.49
1-01-2022 13:15;11.53
1-01-2022 13:30;11.52
1-01-2022 13:45;11.77
1-01-2022 14:00;11.95
1-01-2022 14:15;12.17
1-01-2022 14:30;12.46
1-01-2022 14:45;13.2
1-01-2022 15:00;13.28
1-01-2022 15:15;13.54
1-01-2022 15:30;13.92
1-01-2022 15:45;15.04
1-01-2022 16:00;14.66
1-01-2022 16:15;14.96
1-01-2022 16:30;15.74
1-01-2022 16:45;15.57
1-01-2022 17:00;15.37
1-01-2022 17:15;15.58
1-01-2022 17:30;15.76
1-01-2022 17:45;15.76
1-01-2022 18:00;15.72
1-01-2022 18:15;15.74
1-01-2022 18:30;15.61
1-01-2022 18:45;15.63
1-01-2022 19:00;15.66
1-01-2022 19:15;15.63
1-01-2022 19:30;15.69
1-01-2022 19:45;15.69
1-01-2022 20:00;15.77
1-01-2022 20:15;15.23
1-01-2022 20:30;15.38
1-01-2022 20:45;14.45
1-01-2022 21:00;13.89
1-01-2022 21:15;13.91
1-01-2022 21:30;14.21
1-01-2022 21:45;14.1
1-01-2022 22:00;13.6
1-01-2022 22:15;13.35
1-01-2022 22:30;13.05
1-01-2022 22:45;12.74
1-01-2022 23:00;12.95
1-01-2022 23:15;12.81
1-01-2022 23:30;12.79
1-01-2022 23:45;12.84
2-01-2022 00:00;12.88
2-01-2022 00:15;12.89
2-01-2022 00:30;12.89
2-01-2022 00:45;13.33
2-01-2022 01:00;13.28
2-01-2022 01:15;13.55
2-01-2022 01:30;13.59
2-01-2022 01:45;13.58
2-01-2022 02:00;13.54
2-01-2022 02:15;13.54
2-01-2022 02:30;13.46
2-01-2022 02:45;13.46
2-01-2022 03:00;13.34
2-01-2022 03:15;13.44
2-01-2022 03:30;13.47
2-01-2022 03:45;13.8
2-01-2022 04:00;13.78
2-01-2022 04:15;13.88
2-01-2022 04:30;13.92
2-01-2022 04:45;13.95
2-01-2022 05:00;13.87
2-01-2022 05:15;13.87
2-01-2022 05:30;13.65
2-01-2022 05:45;13.51
2-01-2022 06:00;13.24
2-01-2022 06:15;13.11
2-01-2022 06:30;12.86
2-01-2022 06:45;12.68
2-01-2022 07:00;12.42
2-01-2022 07:15;12.14
2-01-2022 07:30;12.02
2-01-2022 07:45;11.67
2-01-2022 08:00;11.29
2-01-2022 08:15;11.12
2-01-2022 08:30;10.82
2-01-2022 08:45;10.73
2-01-2022 09:00;10.39
2-01-2022 09:15;10.22
2-01-2022 09:30;10.33
2-01-2022 09:45;10.31
2-01-2022 10:00;10.3
2-01-2022 10:15;10.39
2-01-2022 10:30;10.36
2-01-2022 10:45;10.4
2-01-2022 11:00;10.34
2-01-2022 11:15;10.15
2-01-2022 11:30;10.01
2-01-2022 11:45;10.31
2-01-2022 12:00;10.81
2-01-2022 12:15;10.82
2-01-2022 12:30;11.22
2-01-2022 12:45;11.25
2-01-2022 13:00;11.46
2-01-2022 13:15;11.79
2-01-2022 13:30;12.03
2-01-2022 13:45;12.34
2-01-2022 14:00;12.6
2-01-2022 14:15;13.05
2-01-2022 14:30;13.34
2-01-2022 14:45;13.66
2-01-2022 15:00;14.05
2-01-2022 15:15;14.37
2-01-2022 15:30;14.62
2-01-2022 15:45;14.89
2-01-2022 16:00;15.1
2-01-2022 16:15;15.43
2-01-2022 16:30;15.64
2-01-2022 16:45;15.51
2-01-2022 17:00;15.55
2-01-2022 17:15;15.68
2-01-2022 17:30;15.82
2-01-2022 17:45;15.89
2-01-2022 18:00;16.08
2-01-2022 18:15;16.22
2-01-2022 18:30;16.23
2-01-2022 18:45;16.3
2-01-2022 19:00;16.25
2-01-2022 19:15;16.35
2-01-2022 19:30;16.44
2-01-2022 19:45;16.44
2-01-2022 20:00;16.49
2-01-2022 20:15;16.58
2-01-2022 20:30;16.81
2-01-2022 20:45;16.86
2-01-2022 21:00;17.37
2-01-2022 21:15;17.52
2-01-2022 21:30;17.61
2-01-2022 21:45;17.46
2-01-2022 22:00;17.44
2-01-2022 22:15;17.61
2-01-2022 22:30;17.56
2-01-2022 22:45;17.67
2-01-2022 23:00;17.33
2-01-2022 23:15;17.33
2-01-2022 23:30;17.17
2-01-2022 23:45;17.08
3-01-2022 00:00;17.06
3-01-2022 00:15;18.09
3-01-2022 00:30;18.31
3-01-2022 00:45;16.9
3-01-2022 01:00;15.55
3-01-2022 01:15;16.33
3-01-2022 01:30;16.09
3-01-2022 01:45;15.71
3-01-2022 02:00;15.77
3-01-2022 02:15;15.6
3-01-2022 02:30;15.2
3-01-2022 02:45;14.94
3-01-2022 03:00;14.82
3-01-2022 03:15;14.56
3-01-2022 03:30;14.45
3-01-2022 03:45;14.6
3-01-2022 04:00;15.04
3-01-2022 04:15;15.21
3-01-2022 04:30;15.55
3-01-2022 04:45;14.45
3-01-2022 05:00;11.89
3-01-2022 05:15;16.23
3-01-2022 05:30;14.33
3-01-2022 05:45;13.62
3-01-2022 06:00;13.69
3-01-2022 06:15;14.27
3-01-2022 06:30;14.43
3-01-2022 06:45;14.62
3-01-2022 07:00;14.87
3-01-2022 07:15;15.02
3-01-2022 07:30;14.93
3-01-2022 07:45;14.76
3-01-2022 08:00;14.65
3-01-2022 08:15;14.61
3-01-2022 08:30;14.54
3-01-2022 08:45;14.49
3-01-2022 09:00;14.41
3-01-2022 09:15;14.46
3-01-2022 09:30;14.25
3-01-2022 09:45;14.21
3-01-2022 10:00;14.03
3-01-2022 10:15;13.95
3-01-2022 10:30;13.94
3-01-2022 10:45;14.51
3-01-2022 11:00;14.18
3-01-2022 11:15;12.8
3-01-2022 11:30;11.16
3-01-2022 11:45;12.87
3-01-2022 12:00;12.67
3-01-2022 12:15;12.44
3-01-2022 12:30;13.12
3-01-2022 12:45;13.49
3-01-2022 13:00;14.18
3-01-2022 13:15;14.48
3-01-2022 13:30;16.06
3-01-2022 13:45;17.98
3-01-2022 14:00;18.48
3-01-2022 14:15;18.45
3-01-2022 14:30;20.04
