date;concentration NGL (mgN/L)
01/01/2022;38.6498384
02/01/2022;39.87764734
03/01/2022;27.86310893
04/01/2022;12.1918772
05/01/2022;28.45440112
06/01/2022;33.25264423
07/01/2022;28.32081424
08/01/2022;21.21425105
09/01/2022;14.97177825
10/01/2022;28.29529375
11/01/2022;32.2039707
12/01/2022;33.43745208
13/01/2022;35.30192068
14/01/2022;36.59532149
15/01/2022;37.2638384
16/01/2022;37.6852576
17/01/2022;38.19907309
18/01/2022;38.77356397
19/01/2022;37.76173508
20/01/2022;36.42254574
21/01/2022;38.79372729
22/01/2022;39.37161618
23/01/2022;40.43172729
24/01/2022;40.56787221
25/01/2022;40.12284806
26/01/2022;39.80905672
27/01/2022;40.74463067
28/01/2022;40.99379009
29/01/2022;40.01639395
30/01/2022;40.44701231
31/01/2022;39.59974178
01/02/2022;39.73987705
02/02/2022;40.22436497
03/02/2022;40.84729734
04/02/2022;40.32425869
05/02/2022;38.99206062
06/02/2022;33.403964
07/02/2022;30.42761789
08/02/2022;40.87418139
09/02/2022;41.03758236
10/02/2022;39.85600265
11/02/2022;38.9693698
12/02/2022;41.34639395
13/02/2022;42.87567415
14/02/2022;38.48738429
15/02/2022;38.55488188
16/02/2022;27.9285568
17/02/2022;38.16041328
18/02/2022;34.60448091
19/02/2022;37.71961618
20/02/2022;37.86451956
21/02/2022;28.7835582
22/02/2022;38.82395917
23/02/2022;39.19364033
24/02/2022;37.17865482
25/02/2022;37.87672729
26/02/2022;39.93161618
27/02/2022;40.77627848
28/02/2022;39.54874661
01/03/2022;39.96692052
02/03/2022;40.879964
03/03/2022;41.30811376
04/03/2022;44.12911485
05/03/2022;43.82033707
06/03/2022;45.07617765
07/03/2022;45.0256221
08/03/2022;43.92181798
09/03/2022;43.67347125
10/03/2022;43.34213791
11/03/2022;39.29921521
12/03/2022;37.83161618
13/03/2022;40.8192297
14/03/2022;40.1272442
15/03/2022;28.13200187
16/03/2022;40.0405727
17/03/2022;42.44011096
18/03/2022;43.03721521
19/03/2022;42.93150506
20/03/2022;43.69267898
21/03/2022;43.80660651
22/03/2022;42.56950023
23/03/2022;43.31116207
24/03/2022;43.40649057
25/03/2022;42.60794951
26/03/2022;42.88172729
27/03/2022;43.65984323
28/03/2022;43.82841047
29/03/2022;42.81623578
30/03/2022;34.52411781
31/03/2022;37.78841951
01/04/2022;38.63272729
02/04/2022;40.15639395
03/04/2022;42.56395434
04/04/2022;42.12895839
05/04/2022;42.49645676
06/04/2022;43.41585772
07/04/2022;38.62264999
08/04/2022;20.00856787
09/04/2022;18.85551613
10/04/2022;34.45173212
11/04/2022;37.7470413
12/04/2022;39.57759202
13/04/2022;25.65158127
14/04/2022;39.17186255
15/04/2022;40.61450506
16/04/2022;41.53617173
17/04/2022;41.91417173
18/04/2022;42.47413791
19/04/2022;42.25078043
20/04/2022;43.03051956
21/04/2022;43.790307
22/04/2022;43.52028284
23/04/2022;38.59688188
24/04/2022;39.0854954
25/04/2022;42.47281907
26/04/2022;40.8867611
27/04/2022;39.81302197
28/04/2022;42.87624903
29/04/2022;41.17528284
30/04/2022;37.17906062
01/05/2022;38.83667415
02/05/2022;39.6321041
03/05/2022;41.63653888
04/05/2022;40.53266932
05/05/2022;39.87801714
06/05/2022;41.77417173
07/05/2022;39.83199299
08/05/2022;42.11020555
09/05/2022;42.86427801
10/05/2022;42.58319589
11/05/2022;41.91971763
12/05/2022;41.92546969
13/05/2022;42.50450506
14/05/2022;40.7638384
15/05/2022;39.11386738
16/05/2022;30.86797974
17/05/2022;39.94153421
18/05/2022;38.37788671
19/05/2022;37.77810441
20/05/2022;28.10777077
21/05/2022;36.40128284
22/05/2022;39.79912342
23/05/2022;32.934952
24/05/2022;32.47888188
25/05/2022;39.10017173
